Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
40.42,45,40183.75,133.9,Stand-Alone Reciprocal Synergy,Lisamouth,1,Norway,16-03-2016 07:59,1
76.77,36,58348.41,123.51,Universal Even-Keeled Analyzer,Harveyport,0,Turks and Caicos Islands,04-05-2016 00:01,1
65.65,30,72209.99,158.05,Up-Sized Tertiary Contingency,Ramosstad,0,Finland,02-07-2016 21:22,0
74.32,33,62060.11,128.17,Monitored Real-Time Superstructure,North Kevinside,0,South Africa,23-05-2016 21:14,1
73.27,32,67113.46,234.75,Streamlined Analyzing Initiative,Haleview,1,Martinique,29-01-2016 20:16,0
80.03,44,24030.06,150.84,Automated Static Concept,Christinetown,0,Afghanistan,23-07-2016 14:47,1
53.68,47,56180.93,115.26,Operative Stable Moderator,New Michael,1,Micronesia,16-02-2016 09:11,1
85.84,32,62204.93,192.85,Up-Sized 6Thgeneration Moratorium,Jonesland,1,French Southern Territories,09-06-2016 21:43,0
85.03,30,60372.64,204.52,Expanded Clear-Thinking Core,North Shannon,0,Philippines,19-06-2016 09:24,0
70.44,24,65280.16,178.75,Polarized Attitude-Oriented Superstructure,New Sonialand,1,Algeria,06-06-2016 21:26,0
81.22,53,34309.24,223.09,Networked Coherent Interface,Port Jason,1,San Marino,07-01-2016 13:25,0
39.96,45,59610.81,146.13,Enhanced Homogeneous Moderator,East Barbara,1,Guernsey,15-04-2016 06:08,1
57.05,41,50278.89,269.96,Seamless Full-Range Website,Port Erinberg,1,Sierra Leone,09-01-2016 03:45,1
42.44,56,43450.11,168.27,Profit-Focused Attitude-Oriented Task-Force,Petersonfurt,0,Tajikistan,10-02-2016 15:23,1
62.2,25,25408.21,161.16,Cross-Platform Multimedia Algorithm,New Lindaberg,0,Liechtenstein,24-04-2016 13:42,1
76.7,36,71136.49,222.25,Open-Source Coherent Monitoring,West Russell,0,Ecuador,12-06-2016 05:31,0
61.22,45,63883.81,119.03,Streamlined Logistical Secured Line,South Adam,1,Switzerland,05-01-2016 09:42,1
84.54,33,64902.47,204.02,Synchronized Stable Complexity,North Tracyport,1,Moldova,02-03-2016 10:07,0
46.08,30,66784.81,164.63,Synergistic Value-Added Extranet,Brownport,1,Finland,21-07-2016 10:54,1
56.7,48,62784.85,123.13,Progressive Non-Volatile Neural-Net,Port Crystal,0,France,09-01-2016 04:53,1
81.03,28,63727.5,201.15,Persevering Tertiary Capability,Masonhaven,0,Venezuela,06-01-2016 13:20,0
80.91,32,61608.23,231.42,Enterprise-Wide Bi-Directional Secured Line,Derrickhaven,0,Cuba,31-01-2016 04:10,0
40.06,38,56782.18,138.68,Organized Contextually-Based Customer Loyalty,Olsonstad,1,Peru,11-06-2016 08:38,1
83.47,39,64447.77,226.11,Total Directional Approach,New Brandy,0,Turkey,15-05-2016 20:48,0
73.84,31,42042.95,121.05,Programmable Uniform Productivity,South Jasminebury,0,Albania,18-06-2016 17:23,1
74.65,28,67669.06,212.56,Robust Transitional Ability,East Timothy,0,French Southern Territories,17-03-2016 05:00,0
60.25,35,54875.95,109.77,De-Engineered Fault-Tolerant Database,Charlottefort,0,Papua New Guinea,29-06-2016 13:35,1
59.21,35,73347.67,144.62,Managed Disintermediate Matrices,Lake Beckyburgh,1,Liechtenstein,02-02-2016 08:55,1
43.02,44,50199.77,125.22,Configurable Bottom-Line Application,West Lindseybury,0,Thailand,13-04-2016 05:42,1
84.04,38,50723.67,244.55,Self-Enabling Didactic Pricing Structure,West Alyssa,0,Malaysia,20-07-2016 09:27,0
70.66,43,63450.96,120.95,Versatile Scalable Encryption,Lake Craigview,1,Mauritius,26-02-2016 04:57,1
70.58,26,56694.12,136.94,Proactive Next Generation Knowledge User,Lake David,0,Algeria,26-02-2016 09:18,1
72.44,34,70547.16,230.14,Customizable Tangible Hierarchy,Bruceburgh,0,Christmas Island,15-04-2016 14:45,0
40.17,26,47391.95,171.31,Visionary Asymmetric Encryption,South Lauratown,1,Japan,01-02-2016 14:37,1
79.15,26,62312.23,203.23,Intuitive Explicit Conglomeration,Port Robin,0,Greenland,20-01-2016 19:09,0
44.49,53,63100.13,168,Business-Focused Real-Time Toolset,Jacksonburgh,1,Sao Tome and Principe,23-04-2016 06:28,1
73.04,37,73687.5,221.79,Organic Contextually-Based Focus Group,Erinmouth,1,Senegal,19-06-2016 22:26,0
76.28,33,52686.47,254.34,Right-Sized Asynchronous Website,Port Aliciabury,0,Guadeloupe,15-02-2016 07:55,0
68.88,37,78119.5,179.58,Advanced 5Thgeneration Capability,Port Whitneyhaven,0,Belgium,09-02-2016 19:37,0
73.1,28,57014.84,242.37,Universal Asymmetric Archive,Jeffreyshire,0,Israel,25-01-2016 07:52,0
47.66,29,27086.4,156.54,Devolved Responsive Structure,Tinaton,0,Honduras,18-07-2016 11:33,1
87.3,35,58337.18,216.87,Triple-Buffered Regional Toolset,North Loriburgh,0,Estonia,09-01-2016 07:28,0
89.34,32,50216.01,177.78,Object-Based Executive Productivity,Wendyton,1,Paraguay,21-03-2016 21:15,0
81.37,26,53049.44,156.48,Business-Focused Responsive Website,Lake Jacqueline,1,Kyrgyz Republic,15-02-2016 12:25,0
81.67,28,62927.96,196.76,Visionary Analyzing Structure,North Christopher,1,Mauritania,04-03-2016 08:48,0
46.37,52,32847.53,144.27,De-Engineered Solution-Oriented Open Architecture,Alexanderfurt,0,French Guiana,05-01-2016 00:02,1
54.88,24,32006.82,148.61,Customizable Modular Internet Solution,West Pamela,0,Northern Mariana Islands,15-05-2016 01:03,1
40.67,35,48913.07,133.18,Stand-Alone Encompassing Throughput,West Amanda,0,Lebanon,05-05-2016 09:28,1
71.76,35,69285.69,237.39,Customizable Zero-Defect Matrix,South Tomside,0,Saint Pierre and Miquelon,26-05-2016 13:18,0
47.51,51,53700.57,130.41,Managed Well-Modulated Collaboration,Bethburgh,1,American Samoa,21-05-2016 01:36,1
75.15,22,52011,212.87,Universal Global Intranet,Jamiefort,1,Austria,04-05-2016 12:06,0
56.01,26,46339.25,127.26,Re-Engineered Real-Time Success,Garciamouth,0,Tonga,05-07-2016 18:59,1
82.87,37,67938.77,213.36,Front-Line Fresh-Thinking Open System,West Brenda,0,Tonga,28-06-2016 20:13,0
45.05,42,66348.95,141.36,Digitized Contextually-Based Product,South Kyle,0,French Southern Territories,05-05-2016 11:09,1
60.53,24,66873.9,167.22,Organic Interactive Support,Combsstad,0,Serbia,25-03-2016 15:17,1
50.52,31,72270.88,171.62,Function-Based Stable Alliance,Lake Allenville,0,New Caledonia,23-01-2016 15:02,1
84.71,32,61610.05,210.23,Reactive Responsive Emulation,Greenechester,0,Taiwan,29-05-2016 07:29,0
55.2,39,76560.59,159.46,Exclusive Zero Tolerance Alliance,Jordantown,1,United States of America,30-05-2016 07:36,1
81.61,33,62667.51,228.76,Enterprise-Wide Local Matrices,Gravesport,0,Morocco,17-04-2016 15:46,0
71.55,36,75687.46,163.99,Inverse Next Generation Moratorium,South Troy,1,Suriname,20-07-2016 23:08,0
82.4,36,66744.65,218.97,Implemented Bifurcated Workforce,Lake Patrick,1,Macedonia,29-06-2016 03:07,0
73.95,35,67714.82,238.58,Persevering Even-Keeled Help-Desk,Millerland,0,Wallis and Futuna,10-04-2016 14:48,0
72.07,31,69710.51,226.45,Grass-Roots Eco-Centric Instruction Set,Port Jessicamouth,0,Chile,16-04-2016 16:38,0
80.39,31,66269.49,214.74,Fully-Configurable Incremental Graphical User Interface,Paulport,0,Gabon,03-05-2016 08:21,0
65.8,25,60843.32,231.49,Expanded Radical Software,Clineshire,1,Gabon,18-03-2016 16:04,0
69.97,28,55041.6,250,Mandatory 3Rdgeneration Moderator,Cynthiaside,0,Holy See (Vatican City State),22-05-2016 00:01,0
52.62,50,73863.25,176.52,Enterprise-Wide Foreground Emulation,Port Juan,0,Seychelles,01-02-2016 20:30,1
39.25,39,62378.05,152.36,Customer-Focused Incremental System Engine,Michellefort,0,Mayotte,23-01-2016 17:39,1
77.56,38,63336.85,130.83,Right-Sized Multi-Tasking Solution,Port Angelamouth,1,Uganda,19-05-2016 03:52,1
33.52,43,42191.61,165.56,Vision-Oriented Optimizing Middleware,Jessicahaven,0,Cambodia,09-05-2016 21:54,1
79.81,24,56194.56,178.85,Proactive Context-Sensitive Project,North Daniel,1,Antigua and Barbuda,31-05-2016 11:44,1
84.79,33,61771.9,214.53,Managed Eco-Centric Encoding,New Juan,0,Cameroon,30-03-2016 19:09,0
82.7,35,61383.79,231.07,Visionary Multi-Tasking Alliance,Amyfurt,0,Somalia,09-01-2016 15:49,0
84.88,32,63924.82,186.48,Ameliorated Tangible Hierarchy,Harrishaven,0,Lebanon,18-04-2016 03:41,0
54.92,54,23975.35,161.16,Extended Interactive Model,Roberttown,0,Saint Pierre and Miquelon,13-06-2016 13:59,1
76.56,34,70179.11,221.53,Universal Bi-Directional Extranet,Jeremyshire,1,Dominica,23-04-2016 08:15,0
69.74,49,66524.8,243.37,Enhanced Maximized Access,Birdshire,0,Hungary,27-03-2016 16:41,0
75.55,22,41851.38,169.4,Upgradable Even-Keeled Challenge,New Amanda,0,Taiwan,19-02-2016 07:29,1
72.19,33,61275.18,250.35,Synchronized National Infrastructure,Curtisview,1,Saint Lucia,19-05-2016 11:16,0
84.29,41,60638.38,232.54,Re-Contextualized Systemic Time-Frame,Jacksonmouth,0,Niue,27-01-2016 20:47,0
73.89,39,47160.53,110.68,Horizontal National Architecture,North April,0,France,20-04-2016 00:41,1
75.84,21,48537.18,186.98,Reactive Bi-Directional Workforce,Hayesmouth,0,Cyprus,07-02-2016 07:41,0
73.38,25,53058.91,236.19,Horizontal Transitional Challenge,South Corey,1,French Southern Territories,21-04-2016 09:30,0
80.72,31,68614.98,186.37,Re-Engineered Neutral Success,Juliaport,0,Costa Rica,19-04-2016 05:15,0
62.06,44,44174.25,105,Adaptive Contextually-Based Methodology,Port Paultown,0,Austria,12-04-2016 14:01,1
51.5,34,67050.16,135.31,Configurable Dynamic Adapter,East Vincentstad,0,Zambia,15-03-2016 11:25,1
90.97,37,54520.14,180.77,Multi-Lateral Empowering Throughput,Kimberlytown,0,Congo,16-02-2016 18:21,0
86.78,30,54952.42,170.13,Fundamental Zero Tolerance Solution,New Steve,1,United States of America,18-02-2016 23:08,0
66.18,35,69476.42,243.61,Proactive Asymmetric Definition,New Johnberg,0,Pitcairn Islands,25-03-2016 08:40,0
84.33,41,54989.93,240.95,Pre-Emptive Zero Tolerance Local Area Network,Shawstad,0,Belize,16-03-2016 00:28,0
36.87,36,29398.61,195.91,Self-Enabling Incremental Collaboration,New Rebecca,0,Anguilla,28-01-2016 11:50,1
34.78,48,42861.42,208.21,Exclusive Even-Keeled Moratorium,Jeffreyburgh,1,South Africa,24-03-2016 02:01,1
76.84,32,65883.39,231.59,Reduced Incremental Productivity,Faithview,0,Singapore,03-03-2016 22:31,0
67.05,25,65421.39,220.92,Realigned Scalable Standardization,Richardsontown,0,Finland,26-02-2016 09:54,0
41.47,31,60953.93,219.79,Secured Scalable Graphical User Interface,Port Brookeland,0,Martinique,06-07-2016 15:56,1
80.71,26,58476.57,200.58,Team-Oriented Context-Sensitive Installation,East Christopherbury,0,Cameroon,24-06-2016 05:50,0
80.09,31,66636.84,214.08,Pre-Emptive Systematic Budgetary Management,Port Christinemouth,0,Sweden,23-05-2016 21:00,0
56.3,49,67430.96,135.24,Fully-Configurable High-Level Implementation,South Meghan,1,New Caledonia,03-02-2016 19:12,1
79.36,34,57260.41,245.78,Profound Maximized Workforce,Hessstad,1,Bosnia and Herzegovina,28-04-2016 22:54,0
86.38,40,66359.32,188.27,Cross-Platform 4Thgeneration Focus Group,Rhondaborough,1,Singapore,19-03-2016 14:57,0
38.94,41,57587,142.67,Optional Mission-Critical Functionalities,Lewismouth,1,Falkland Islands (Malvinas),15-07-2016 09:08,1
87.26,35,63060.55,184.03,Multi-Layered Tangible Portal,New Paul,0,Bosnia and Herzegovina,12-05-2016 04:35,0
75.32,28,59998.5,233.6,Reduced Mobile Structure,Lake Angela,1,Mauritius,01-01-2016 21:58,0
74.38,40,74024.61,220.05,Enhanced Zero Tolerance Graphic Interface,East Graceland,1,Indonesia,13-03-2016 13:50,0
65.9,22,60550.66,211.39,De-Engineered Tertiary Secured Line,Hartport,0,Czech Republic,16-07-2016 14:13,0
36.31,47,57983.3,168.92,Reverse-Engineered Well-Modulated Capability,East Yvonnechester,0,Eritrea,18-04-2016 00:49,1
72.23,48,52736.33,115.35,Integrated Coherent Pricing Structure,Burgessside,0,Mexico,17-07-2016 01:13,1
88.12,38,46653.75,230.91,Realigned Next Generation Projection,Hurleyborough,0,Gibraltar,17-02-2016 07:05,0
83.97,28,56986.73,205.5,Reactive Needs-Based Instruction Set,Garychester,1,Haiti,16-06-2016 02:33,0
61.09,26,55336.18,131.68,User-Friendly Well-Modulated Leverage,East Kevinbury,1,Falkland Islands (Malvinas),09-04-2016 16:31,1
65.77,21,42162.9,218.61,Function-Based Fault-Tolerant Model,Contrerasshire,1,Eritrea,18-03-2016 17:35,0
81.58,25,39699.13,199.39,Decentralized Needs-Based Analyzer,Erikville,0,Hong Kong,11-05-2016 22:02,0
37.87,52,56394.82,188.56,Phased Analyzing Emulation,Robertsonburgh,1,Gambia,25-05-2016 20:10,1
76.2,37,75044.35,178.51,Multi-Layered Fresh-Thinking Process Improvement,Karenton,0,Barbados,29-02-2016 19:26,0
60.91,19,53309.61,184.94,Upgradable Directional System Engine,Port Kathleenfort,0,Nauru,09-06-2016 14:24,1
74.49,28,58996.12,237.34,Persevering Eco-Centric Flexibility,Lake Adrian,0,Peru,30-01-2016 16:15,0
73.71,23,56605.12,211.38,Inverse Local Hub,New Sheila,1,El Salvador,15-02-2016 05:35,0
78.19,30,62475.99,228.81,Triple-Buffered Needs-Based Local Area Network,Mollyport,0,Libyan Arab Jamahiriya,31-01-2016 06:14,0
79.54,44,70492.6,217.68,Centralized Multi-State Hierarchy,Sandraland,1,Cambodia,05-01-2016 16:34,0
74.87,52,43698.53,126.97,Public-Key Non-Volatile Implementation,Charlenetown,0,Saint Barthelemy,31-05-2016 02:17,1
87.09,36,57737.51,221.98,Synergized Coherent Interface,Luischester,1,Reunion,21-04-2016 16:10,0
37.45,47,31281.01,167.86,Horizontal High-Level Concept,South Johnnymouth,0,Antigua and Barbuda,10-04-2016 03:30,1
49.84,39,45800.48,111.59,Reduced Multimedia Project,Hannaport,0,Samoa,09-02-2016 07:21,1
51.38,59,42362.49,158.56,Object-Based Modular Functionalities,East Anthony,0,Afghanistan,17-06-2016 17:11,1
83.4,34,66691.23,207.87,Polarized Multimedia System Engine,West Daleborough,0,Azerbaijan,22-05-2016 21:54,0
38.91,33,56369.74,150.8,Versatile Reciprocal Structure,Morrismouth,1,Philippines,13-07-2016 07:41,1
62.14,41,59397.89,110.93,Upgradable Multi-Tasking Initiative,North Andrewstad,1,Angola,23-01-2016 18:59,1
79.72,28,66025.11,193.8,Configurable Tertiary Budgetary Management,Wrightburgh,1,Albania,20-05-2016 12:17,0
73.3,36,68211.35,135.72,Adaptive Asynchronous Attitude,West Tanya,1,Hungary,30-01-2016 04:38,1
69.11,42,73608.99,231.48,Face-To-Face Mission-Critical Definition,Novaktown,1,Faroe Islands,21-04-2016 12:34,0
71.9,54,61228.96,140.15,Inverse Zero Tolerance Customer Loyalty,Timothymouth,1,Czech Republic,22-04-2016 20:32,1
72.45,29,72325.91,195.36,Centralized 24Hour Synergy,Robertmouth,1,Svalbard & Jan Mayen Islands,11-01-2016 06:02,0
77.07,40,44559.43,261.02,Face-To-Face Analyzing Encryption,Stephenborough,0,Afghanistan,01-03-2016 10:01,0
74.62,36,73207.15,217.79,Self-Enabling Even-Keeled Methodology,Lake Kurtmouth,0,Rwanda,04-04-2016 08:19,0
82.07,25,46722.07,205.38,Function-Based Optimizing Extranet,Lauraburgh,1,Panama,20-06-2016 06:30,0
58.6,50,45400.5,113.7,Organic Asynchronous Hierarchy,Rogerburgh,0,Samoa,28-01-2016 07:10,1
36.08,45,41417.27,151.47,Automated Client-Driven Orchestration,Davidside,1,United States Minor Outlying Islands,03-07-2016 04:11,1
79.44,26,60845.55,206.79,Public-Key Zero-Defect Analyzer,West Thomas,0,Greece,15-05-2016 13:18,0
41.73,47,60812.77,144.71,Proactive Client-Server Productivity,Andersonchester,0,Cote d'Ivoire,08-04-2016 22:48,1
73.19,25,64267.88,203.74,Cloned Incremental Matrices,North Ronaldshire,1,Pakistan,19-01-2016 12:18,0
77.6,24,58151.87,197.33,Open-Architected System-Worthy Task-Force,Greghaven,1,Anguilla,26-05-2016 15:40,0
89,37,52079.18,222.26,Devolved Regional Moderator,Jordanmouth,1,Cyprus,26-01-2016 15:56,0
69.2,42,26023.99,123.8,Balanced Value-Added Database,Meyersstad,0,Peru,17-06-2016 09:58,1
67.56,31,62318.38,125.45,Seamless Composite Budgetary Management,Michelleside,0,Kenya,25-04-2016 21:15,1
81.11,39,56216.57,248.19,Total Cohesive Moratorium,South Robert,1,Chad,13-07-2016 11:41,0
80.22,30,61806.31,224.58,Integrated Motivating Neural-Net,New Tyler,0,Kyrgyz Republic,05-07-2016 15:14,0
43.63,41,51662.24,123.25,Exclusive Zero Tolerance Frame,Jordanshire,1,Albania,15-03-2016 14:06,1
77.66,29,67080.94,168.15,Operative Scalable Emulation,Reyesland,0,Gabon,19-06-2016 22:08,0
74.63,26,51975.41,235.99,Enhanced Asymmetric Installation,New Traceystad,1,Dominican Republic,05-07-2016 20:16,0
49.67,27,28019.09,153.69,Face-To-Face Reciprocal Methodology,Port Brian,0,Zimbabwe,09-05-2016 08:44,1
80.59,37,67744.56,224.23,Robust Responsive Collaboration,Lake Courtney,0,Croatia,21-07-2016 23:14,0
83.49,33,66574,190.75,Polarized Logistical Hub,Samuelborough,1,Cambodia,03-06-2016 17:32,0
44.46,42,30487.48,132.66,Intuitive Zero-Defect Framework,Christinehaven,1,Mongolia,15-01-2016 19:40,1
68.1,40,74903.41,227.73,Reactive Composite Project,Thomasstad,1,Honduras,05-02-2016 16:50,0
63.88,38,19991.72,136.85,Upgradable Even-Keeled Hardware,Kristintown,0,Madagascar,29-02-2016 23:56,1
78.83,36,66050.63,234.64,Future-Proofed Responsive Matrix,New Wanda,1,Qatar,08-05-2016 12:08,0
79.97,44,70449.04,216,Programmable Empowering Middleware,Mariebury,0,China,13-07-2016 01:48,0
80.51,28,64008.55,200.28,Robust Dedicated System Engine,Christopherville,1,Bangladesh,08-01-2016 02:34,0
62.26,26,70203.74,202.77,Public-Key Mission-Critical Core,New Jasmine,0,Swaziland,08-06-2016 12:25,0
66.99,47,27262.51,124.44,Operative Actuating Installation,Lopezberg,1,Tanzania,15-06-2016 11:56,1
71.05,20,49544.41,204.22,Self-Enabling Asynchronous Knowledge User,Jenniferstad,1,Eritrea,13-06-2016 22:41,0
42.05,51,28357.27,174.55,Configurable 24/7 Hub,West Eduardotown,1,Canada,20-06-2016 14:20,1
50.52,28,66929.03,219.69,Versatile Responsive Knowledge User,Davisfurt,0,Saint Kitts and Nevis,03-04-2016 06:17,1
76.24,40,75524.78,198.32,Managed Impactful Definition,Bakerhaven,1,Burkina Faso,31-05-2016 23:42,0
77.29,27,66265.34,201.24,Grass-Roots 4Thgeneration Forecast,Paulshire,1,Tuvalu,15-02-2016 03:43,0
35.98,47,55993.68,165.52,Focused 3Rdgeneration Pricing Structure,West Jane,1,El Salvador,10-03-2016 23:26,1
84.95,34,56379.3,230.36,Mandatory Dedicated Data-Warehouse,Lake Brian,0,Madagascar,26-02-2016 17:01,0
39.34,43,31215.88,148.93,Proactive Radical Support,Alvaradoport,0,Bangladesh,17-04-2016 21:39,1
87.23,29,51015.11,202.12,Re-Engineered Responsive Definition,Lake Kevin,0,American Samoa,26-03-2016 19:54,0
57.24,52,46473.14,117.35,Profound Optimizing Utilization,Richardsonland,1,Latvia,29-06-2016 21:39,1
81.58,41,55479.62,248.16,Cloned Explicit Middleware,East Sheriville,0,Moldova,27-01-2016 17:55,0
56.34,50,68713.7,139.02,Multi-Channeled Mission-Critical Success,Port Michealburgh,1,Anguilla,17-03-2016 23:39,1
48.73,27,34191.23,142.04,Versatile Content-Based Protocol,Monicaview,0,Bangladesh,09-07-2016 16:23,1
51.68,49,51067.54,258.62,Seamless Cohesive Conglomeration,Katieport,0,Faroe Islands,28-06-2016 12:51,1
35.34,45,46693.76,152.86,De-Engineered Actuating Hierarchy,East Brittanyville,0,Taiwan,18-06-2016 16:32,1
48.09,33,19345.36,180.42,Balanced Motivating Help-Desk,West Travismouth,0,Heard Island and McDonald Islands,28-05-2016 12:38,1
78.68,29,66225.72,208.05,Inverse High-Level Capability,Leonchester,0,Israel,16-01-2016 16:40,0
68.82,20,38609.2,205.64,Cross-Platform Client-Server Hierarchy,Ramirezland,1,Bolivia,11-07-2016 15:45,0
56.99,40,37713.23,108.15,Sharable Optimal Capacity,Brownton,0,Bahamas,16-07-2016 23:08,1
86.63,39,63764.28,209.64,Face-To-Face Multimedia Success,New Jessicaport,1,Costa Rica,06-04-2016 21:20,0
41.18,43,41866.55,129.25,Enterprise-Wide Incremental Internet Solution,New Denisebury,1,Myanmar,05-07-2016 00:54,1
71.03,32,57846.68,120.85,Advanced Systemic Productivity,Keithtown,0,Netherlands Antilles,17-02-2016 23:47,1
72.92,29,69428.73,217.1,Customizable Mission-Critical Adapter,Port Melissastad,1,Czech Republic,15-03-2016 17:33,0
77.14,24,60283.98,184.88,Horizontal Heuristic Synergy,Janiceview,1,Iceland,21-01-2016 18:51,0
60.7,43,79332.33,192.6,Multi-Tiered Multi-State Moderator,Mataberg,1,Palau,06-06-2016 22:41,0
34.3,41,53167.68,160.74,Re-Contextualized Reciprocal Interface,West Melaniefurt,1,Libyan Arab Jamahiriya,16-05-2016 14:50,1
83.71,45,64564.07,220.48,Organized Demand-Driven Knowledgebase,Millerfort,1,Kazakhstan,17-04-2016 19:10,0
53.38,35,60803.37,120.06,Total Local Synergy,Alexanderview,1,French Guiana,30-03-2016 01:05,1
58.03,31,28387.42,129.33,User-Friendly Bandwidth-Monitored Attitude,South Jade,0,Tuvalu,29-06-2016 09:04,1
43.59,36,58849.77,132.31,Re-Engineered Context-Sensitive Knowledge User,Lake Susan,1,Congo,26-05-2016 13:43,1
60.07,42,65963.37,120.75,Total User-Facing Hierarchy,South Vincentchester,1,United Kingdom,15-04-2016 10:16,1
54.43,37,75180.2,154.74,Balanced Contextually-Based Pricing Structure,Williamsmouth,1,Luxembourg,31-05-2016 09:06,1
81.99,33,61270.14,230.9,Inverse Bi-Directional Knowledge User,Taylorport,0,French Polynesia,15-02-2016 14:13,0
60.53,29,56759.48,123.28,Networked Even-Keeled Workforce,Williamsport,0,Papua New Guinea,09-05-2016 10:21,1
84.69,31,46160.63,231.85,Right-Sized Transitional Parallelism,Emilyfurt,1,Maldives,07-07-2016 23:32,0
88.72,32,43870.51,211.87,Customer-Focused System-Worthy Superstructure,East John,1,Zambia,03-01-2016 17:10,0
88.89,35,50439.49,218.8,Balanced 4Thgeneration Success,East Deborahhaven,1,Cook Islands,17-07-2016 18:55,0
69.58,43,28028.74,255.07,Cross-Group Value-Added Success,Port Katelynview,0,Congo,04-04-2016 18:36,1
85.23,36,64238.71,212.92,Visionary Client-Driven Installation,Paulhaven,1,Senegal,27-02-2016 12:34,0
83.55,39,65816.38,221.18,Switchable Well-Modulated Infrastructure,Elizabethmouth,1,Myanmar,08-06-2016 20:13,0
56.66,42,72684.44,139.42,Upgradable Asymmetric Emulation,Lake Jesus,0,Dominican Republic,20-02-2016 10:52,1
56.39,27,38817.4,248.12,Configurable Tertiary Capability,North Tylerland,1,Bahrain,23-03-2016 21:06,0
76.24,27,63976.44,214.42,Monitored Dynamic Instruction Set,Munozberg,0,Puerto Rico,07-06-2016 01:29,0
57.64,36,37212.54,110.25,Robust Web-Enabled Attitude,North Maryland,1,Chile,18-01-2016 15:18,1
78.18,23,52691.79,167.67,Customer-Focused Full-Range Neural-Net,West Barbara,0,Bolivia,09-06-2016 19:32,0
46.04,32,65499.93,147.92,Universal Transitional Graphical User Interface,Andrewborough,0,Serbia,30-05-2016 20:07,1
79.4,35,63966.72,236.87,User-Centric Intangible Contingency,New Gabriel,0,Malaysia,01-04-2016 09:21,0
36.44,39,52400.88,147.64,Configurable Disintermediate Throughput,Port Patrickton,1,Estonia,31-05-2016 06:21,1
53.14,38,49111.47,109,Automated Web-Enabled Migration,West Julia,1,Greenland,03-07-2016 22:13,1
32.84,40,41232.89,171.72,Triple-Buffered 3Rdgeneration Migration,New Keithburgh,0,Trinidad and Tobago,10-03-2016 01:36,1
73.72,32,52140.04,256.4,Universal Contextually-Based System Engine,Richardsland,1,Thailand,18-03-2016 02:39,0
38.1,34,60641.09,214.38,Optional Secondary Access,North Aaronchester,1,Philippines,30-05-2016 18:08,1
73.93,44,74180.05,218.22,Quality-Focused Scalable Utilization,Lake Matthewland,0,Niue,20-02-2016 00:06,0
51.87,50,51869.87,119.65,Team-Oriented Dynamic Forecast,Kevinberg,0,Afghanistan,10-03-2016 22:28,1
77.69,22,48852.58,169.88,Horizontal Heuristic Support,Morganfort,1,Angola,21-06-2016 14:32,0
43.41,28,59144.02,160.73,Customer-Focused Zero-Defect Process Improvement,Lovemouth,0,Egypt,05-02-2016 15:26,1
55.92,24,33951.63,145.08,Focused Systemic Benchmark,Taylorhaven,0,Fiji,31-05-2016 21:41,1
80.67,34,58909.36,239.76,Seamless Impactful Info-Mediaries,Jamesville,0,Portugal,01-01-2016 02:52,0
83.42,25,49850.52,183.42,Advanced Heuristic Firmware,East Toddfort,1,Austria,04-03-2016 14:10,0
82.12,52,28679.93,201.15,Fully-Configurable Client-Driven Customer Loyalty,East Dana,1,Germany,03-02-2016 10:40,1
66.17,33,69869.66,238.45,Cross-Group Neutral Synergy,West Lucas,0,Panama,20-01-2016 00:26,0
43.01,35,48347.64,127.37,Organized 24/7 Middleware,Butlerfort,0,United States of America,11-06-2016 09:37,1
80.05,25,45959.86,219.94,Networked Stable Open Architecture,Lindaside,1,Christmas Island,08-03-2016 05:48,0
64.88,42,70005.51,129.8,Customizable Systematic Service-Desk,West Chloeborough,1,Equatorial Guinea,14-02-2016 22:23,1
79.82,26,51512.66,223.28,Function-Based Directional Productivity,Jayville,1,Micronesia,17-07-2016 22:04,0
48.03,40,25598.75,134.6,Networked Stable Array,East Lindsey,1,Malta,02-06-2016 22:16,1
32.99,45,49282.87,177.46,Phased Full-Range Hardware,Masseyshire,0,Ecuador,30-04-2016 19:42,1
74.88,27,67240.25,175.17,Organized Empowering Policy,Sarahton,1,Sudan,17-04-2016 06:58,0
36.49,52,42136.33,196.61,Object-Based System-Worthy Superstructure,Ryanhaven,1,Lao People's Democratic Republic,09-03-2016 00:41,1
88.04,45,62589.84,191.17,Profound Explicit Hardware,Lake Deborahburgh,1,Saint Vincent and the Grenadines,07-03-2016 20:02,0
45.7,33,67384.31,151.12,Self-Enabling Multimedia System Engine,New Williammouth,1,Switzerland,26-05-2016 10:33,1
82.38,35,25603.93,159.6,Polarized Analyzing Intranet,Port Blake,0,Spain,18-07-2016 01:36,1
52.68,23,39616,149.2,Vision-Oriented Attitude-Oriented Internet Solution,West Richard,1,Turks and Caicos Islands,16-07-2016 05:56,1
65.59,47,28265.81,121.81,Digitized Disintermediate Ability,Brandymouth,0,Indonesia,22-03-2016 06:41,1
65.65,25,63879.72,224.92,Intuitive Explicit Firmware,Sandraville,1,Cook Islands,03-06-2016 06:34,0
43.84,36,70592.81,167.42,Public-Key Real-Time Definition,Port Jessica,0,Australia,28-06-2016 09:19,1
67.69,37,76408.19,216.57,Monitored Content-Based Implementation,Lake Jasonchester,0,Finland,18-07-2016 18:33,0
